kph,case_id,case_label,J,raw_relative_l2,raw_relative_l2_pct,raw_relative_linf,low_output_relative_l2_pct,resolved_output_relative_l2_pct,norm_ratio,fft_ifft_count,pointwise_product_count,matlab_release
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",3,0.0372538379088131,3.72538379088131,0.0552390314117375,2.38363179692359e-16,3.72538379088131,0.97005225730659,35,22,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",4,0.00990491640394116,0.990491640394116,0.0155534021461618,3.90514945608209e-16,0.990491640394116,0.992374121147415,45,29,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",5,0.00273338792741705,0.273338792741705,0.00446569105401429,5.57041085132837e-16,0.273338792741705,0.998051281686683,55,36,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",6,0.000781913356314096,0.0781913356314096,0.00131150477873919,4.97866620107155e-16,0.0781913356314096,0.999494659894444,65,43,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",7,0.000230523536275427,0.0230523536275427,0.000393729880752165,1.84829788966665e-16,0.0230523536275427,0.999866500978128,75,50,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",8,6.96812396322222e-05,0.00696812396322222,0.000120636564191431,2.40695633090625e-16,0.00696812396322222,0.999964042688164,85,57,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",9,2.15184760880388e-05,0.00215184760880388,3.76563945022564e-05,3.07163488720608e-16,0.00215184760880388,0.999990131791855,95,64,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",10,6.77319931666778e-06,0.000677319931666778,1.19547994265782e-05,4.47087847619302e-16,0.000677319931666778,0.99999724406253,105,71,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",11,2.16870189920021e-06,0.000216870189920021,3.85202957759592e-06,3.00103114518424e-16,0.000216870189920021,0.999999218203062,115,78,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",12,7.05326457331256e-07,7.05326457331256e-05,1.25672845178252e-06,2.89964677141567e-16,7.05326457331256e-05,0.99999977522943,125,85,2022b
