x_over_lambda_p,mf12_m3000_psi33_hat,gl6_psi33_hat,difference_pct_of_mf12_peak
2.015625,6.87266571103045e-05,7.26407943239871e-05,0.000602304417522529
2.03125,6.73585960035717e-05,7.11290222044403e-05,0.000580190277639575
2.046875,6.60493753089668e-05,6.96847629938727e-05,0.000559410654887536
2.0625,6.47756570042769e-05,6.82909337614007e-05,0.000540928077898915
2.078125,6.35240267019955e-05,6.69416805806257e-05,0.000525905944601605
2.09375,6.22931847524547e-05,6.56419331234703e-05,0.000515302818200494
2.109375,6.10923054863148e-05,6.44036649866755e-05,0.000509549447602525
2.125,5.99364419294598e-05,6.32402259033106e-05,0.000508383731422227
2.140625,5.8840717765639e-05,6.21606836511282e-05,0.000510873791512516
2.15625,5.78153269899499e-05,6.11660434954114e-05,0.000515605673212045
2.171875,5.68628136737725e-05,6.02483984555944e-05,0.000520971176702787
2.1875,5.59779995775136e-05,5.93928576997854e-05,0.000525475735768066
2.203125,5.51498846213493e-05,5.85811164946586e-05,0.000527995315957236
2.21875,5.43643796126784e-05,5.77952205974316e-05,0.000527935166327504
2.234375,5.36069125256092e-05,5.70204391895166e-05,0.00052527085198121
2.25,5.28644470904302e-05,5.62468144528696e-05,0.000520476082688129
2.265625,5.21268601780036e-05,5.54694824562066e-05,0.000514360139760335
2.28125,5.13877589781386e-05,5.46880819301075e-05,0.000507851152042694
2.296875,5.06447644511844e-05,5.39055746276522e-05,0.000501770956604045
2.3125,4.98992338079443e-05,5.3126768698897e-05,0.000496650581316726
2.328125,4.91554526161042e-05,5.2356844997013e-05,0.00049262779202118
2.34375,4.84194615918865e-05,5.16001863941086e-05,0.000489447480942922
